state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence
AL,Birmingham Post,100103,1932,AL,AMENDMENT,5,STATE INCOME TAX AMENDMENT,0,THIS NEWSPAPER FAVORS THE INCOME TAX PRINCIPLE BUT BELIEVES THIS AMENDMENT SHOULD BE REJECTED BECAUSE IT LEAVES THE WAY OPEN FOR A MINORITY CONTROLLED LEGISLATURE TO HOIST THE RATES AT WILL; WE BELIEVE THIS AMENDMENT SHOULD BE VOTED DOWN,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,6,$20000000 DEBT FUNDING BOND ISSUE PROPOSAL,0,WE RECOMMEND DEFEAT OF THE PROPOSED $20000000 BOND ISSUE,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,7,SUBSTITUTE SALARIES FOR FEE SYSTEM FOR SHERIFFS PROBATE JUDGES TAX ASSESSORS COLLECTORS AND COURT CLERKS IN CALHOUN CHILTON COLBERT COVINGTON HOUSTON HENRY JACKSON LAWRENCE LIMESTONE SHELBY TALLAPOOSA TUSCALOOSA AND WALKER COUNTIES,1,THOUSANDS OF DOLLARS WILL BE SAVED TO THE TAXPAYERS OF THESE COUNTIES IF THIS AMENDMENT IS APPROVED,0.9
AL,Birmingham Post,100103,1932,AL,AMENDMENT,8,PERMIT CITIES AND COUNTIES TO BORROW FUNDS FROM RECONSTRUCTION FINANCE CORP TO RELIEVE UNEMPLOYMENT AND DISTRESS,1,AMENDMENT NO 8 IS URGENTLY NEEDED; EVERYBODY WHO SYMPATHIZES WITH THE PLIGHT OF THOSE WHOM THE DEPRESSION HAS MADE DEPENDENT ON RELIEF AUTHORITIES SHOULD VOTE FOR THIS AMENDMENT,0.95
AL,Birmingham Post,100103,1932,AL,AMENDMENT,9,REGULATE PAY OF MOBILE COUNTY TAX ASSESSOR AND TAX COLLECTOR FOR ASSESSING AND COLLECTING TAXES FOR PUBLIC SCHOOLS,1,THIS AMENDMENT WILL SAVE FOR THE MOBILE COUNTY SCHOOLS EACH YEAR APPROXIMATELY $25000 WHICH IS NOW GOING TO THE TWO OFFICIALS IN QUESTION; IT SHOULD BE ADOPTED,0.95
AL,Birmingham Post,100103,1934,AL,AMENDMENT,,MOBILE COUNTY CONSTITUTIONAL AMENDMENT TO ABOLISH FEE SYSTEM OF PAYING PUBLIC OFFICIALS,1,THE BALLOT OF EVERY THOUGHTFUL VOTER IS NEEDED TO ASSURE RATIFICATION,0.9
AL,Birmingham Post,100103,1936,AL,AMENDMENT,1,COMPTROLLER ACT - JEFFERSON COUNTY - CONSOLIDATE COUNTY FUNCTIONS FOR EFFICIENCY AND SAVINGS,1,"EDITORIAL ARGUES STRONGLY FOR AMENDMENT, CRITICIZES OPPONENTS AS POLITICAL SPOILSMEN PROTECTING WASTEFUL GOVERNMENT",0.95
AL,Birmingham Post,100103,1936,AL,AMENDMENT,2,MONTEVALLO - RIGHT TO VOTE ADDITIONAL TAXES FOR MUNICIPAL PURPOSES,1,LOCAL MATTER; AFFECTS NO OTHER COMMUNITY; SHOULD BE APPROVED,0.9
AL,Birmingham Post,100103,1936,AL,AMENDMENT,3,STATEWIDE PROBATION AMENDMENT - EMPOWER COURTS TO SUSPEND SENTENCES AND PLACE CONVICTS ON PROBATION WHERE PUNISHMENT DOES NOT EXCEED FIVE YEARS,1,AT LEAST A START IN THE RIGHT DIRECTION AND SHOULD BE ADOPTED; TRIED FIRST IN MASSACHUSETTS AND ADOPTED IN 28 OTHER STATES,0.9
AL,Birmingham Post,100103,1936,AL,AMENDMENT,4,LIMESTONE COUNTY - ELIMINATE FEE SYSTEM IN OFFICES OF PROBATE JUDGE TAX COLLECTOR AND TAX ASSESSOR AND PLACE ON SALARY BASIS,1,LOCAL MATTER; COMMUNITIES ENTITLED TO GOVERN THEMSELVES WITHOUT INTERFERENCE BY OUTSIDERS; SHOULD BE APPROVED,0.9
AL,Birmingham Post,100103,1936,AL,AMENDMENT,5,ENABLE MULTIPLE COMMUNITIES TO VOTE ADDITIONAL BOND TAXES FOR SCHOOL PURPOSES,1,LOCAL MATTER; SHOULD BE APPROVED,0.9
AL,Birmingham Post,100103,1938,AL,AMENDMENT,1,GASOLINE TAX AND HIGHWAY FUNDING AMENDMENT - PROTECT HIGHWAY FUNDS FROM DIVERSION,0,"WITH THAT THOUGHT IN MIND WE URGE A YES VOTE ON AMENDMENT NO 1 NEXT TUESDAY; PROTECTIONS OF ALABAMIANS WILL BE IN JEOPARDY IF THEY DO NOT HAPPEN TO SOLVE THEIR OWN PROBLEMS OF GOVERNMENT ROUND 4 PATTERN L FIX: WAS e=1; OCR 1938-11-03 EXPLICIT ""WE URGE A NO VOTE ON AMENDMENT NO. 1"" + 1938-11-07 ""UNWISE TO APPROVE."" PAPER OPPOSED HIGHWAY DIVERSION AMENDMENT.",0.95
AL,Birmingham Post,100103,1940,AL,BALLOT MEASURE,,"PURCHASE AND USE OF VOTING MACHINES FOR JEFFERSON COUNTY - WOULD SPEED UP ELECTIONS, REDUCE COSTS, AND PROVIDE SECRET BALLOT",1,EDITORIAL STATES 'WE BELIEVE THE PURCHASE SHOULD BE APPROVED' AND EMPHASIZES IMPORTANCE FOR SECRET BALLOT,0.95
AL,Birmingham Post,100103,1944,AL,AMENDMENT,1,HOUSTON COUNTY - ABOLISH FEE SYSTEM FOR PUBLIC OFFICIALS,1,PURELY LOCAL IN EFFECT; WE KNOW THE PROPOSED CHANGE TO BE SOUND WE FAVOR ITS ADOPTION,0.9
AL,Birmingham Post,100103,1944,AL,AMENDMENT,2,EXTEND POLL TAX EXEMPTIONS TO ALL VETERANS MEN AND WOMEN WHO SERVE IN THE PRESENT WAR,1,PLACES THEM ON THE SAME STATUS AS VETERANS OF WORLD WAR NO 1; CERTAINLY IT SHOULD BE APPROVED,0.95
AL,Birmingham Post,100103,1944,AL,AMENDMENT,3,MANDATORY PRIMARY ELECTIONS FOR NOMINATION OF CANDIDATES FOR PUBLIC OFFICE,0,AIMED PRIMARILY AT REPUBLICANS IN COUNTIES WHERE THEY HAVE APPRECIABLE STRENGTH; WE SERIOUSLY QUESTION ITS WISDOM; NATIONAL DEVELOPMENTS SINCE AMENDMENT WAS PASSED HAVE CAUSED MANY DEMOCRATIC PARTY LEADERS TO WONDER WHETHER IT MAY NOT BACK-FIRE,0.85
AL,Birmingham Post,100103,1944,AL,AMENDMENT,4,EXTEND TERM OF COUNTY SHERIFFS FROM FOUR YEARS TO SIX YEARS,0,WE QUESTION THE WISDOM OF AMENDMENT NO 4; SUCH A SYSTEM OF BLANKET-ELECTION IS NEITHER SOUND NOR DEMOCRATIC; HEALTHY TO HAVE SHERIFF STAND BEFORE VOTERS ON HIS RECORD EVERY FOUR YEARS,0.95
AL,Birmingham Post,100103,1944,AL,AMENDMENT,5,WALKER COUNTY - ABOLISH FEE SYSTEM FOR PUBLIC OFFICIALS,1,PURELY LOCAL IN EFFECT; WE KNOW THE PROPOSED CHANGE TO BE SOUND WE FAVOR ITS ADOPTION,0.9
AL,Birmingham Post,100103,1944,AL,AMENDMENT,6,RELIEVE STATE CHARTERED BANKS OF NECESSITY OF RENEWING CHARTERS EVERY 20 YEARS,1,HAS APPROVAL AND ENDORSEMENT OF STATE BANKING COMMISSIONER STATE BANKING BOARD AND ALABAMA BANKERS ASSN; SO FAR AS WE KNOW NO VOICE HAS BEEN RAISED IN OPPOSITION; WE BELIEVE IT SHOULD BE ADOPTED,0.95
AL,Birmingham Post,100103,1944,AL,REFERENDUM,1,PROPOSAL TO PURCHASE BLOCK 20 AS BUILDING SITE FOR CITY HALL IN BIRMINGHAM,0,EDITORIAL STATES 'FOR REASONS ALREADY STATED WE BELIEVE BOTH PROPOSALS SHOULD BE REJECTED',0.9
AL,Birmingham Post,100103,1944,AL,REFERENDUM,2,PROPOSAL FOR NEW BUILDING ON PRESENT CITY HALL SITE IN BIRMINGHAM,0,EDITORIAL STATES 'FOR REASONS ALREADY STATED WE BELIEVE BOTH PROPOSALS SHOULD BE REJECTED',0.9
AL,Birmingham Post,100103,1948,AL,AMENDMENT,4,AMENDMENT TO GRANT TUSCALOOSA COUNTY SCHOOLS RIGHT TO PROVIDE ADDITIONAL REVENUE FOR SCHOOLS IF APPROVED BY LOCAL VOTERS,1,EDITORIAL 'QUESTION OF HOME RULE' ENDORSES AMENDMENT NO. 4; ARGUES IT GRANTS NEEDED HOME RULE TO TUSCALOOSA COUNTY FOR SCHOOL FUNDING,0.9
AL,Birmingham Post,100103,1948,AL,AMENDMENT,6,AMENDMENT TO GIVE JEFFERSON COUNTY AUTHORITY TO ISSUE GENERAL OBLIGATION BONDS NOT TO EXCEED 3 PERCENT OF TAXABLE PROPERTY VALUE FOR REBUILDING SANITARY SEWER SYSTEM,1,EDITORIAL 'A VITAL ISSUE' ENDORSES AMENDMENT NO. 6; ARGUES SEWER SYSTEM IMPROVEMENTS CANNOT BE AVOIDED AND VOTERS WILL GIVE OVERWHELMING APPROVAL,0.95
AL,Birmingham Post,100103,1948,AL,AMENDMENT,8,AMENDMENT TO PERMIT SCHOOL DISTRICTS OF JEFFERSON COUNTY TO TAX THEMSELVES FOR EDUCATIONAL FACILITIES,1,EDITORIAL 'YOUR APPROVAL NEEDED' ENDORSES AMENDMENT NO. 8; ARGUES IT GIVES JEFFERSON COUNTY SCHOOLS OPPORTUNITY TO PROVIDE PROPER EDUCATIONAL FACILITIES,0.95
