filename,reason,type
128400_19761025,DAILY 1976 EDITORIAL; OCR CONTENT VARIED. PROCESSING DEFERRED TO QA STAGE FOR DEEPER REVIEW.,no_endorsements
128400_19761026,DAILY 1976 EDITORIAL; OCR CONTENT VARIED. PROCESSING DEFERRED TO QA STAGE FOR DEEPER REVIEW.,no_endorsements
128400_19761028,DAILY 1976 EDITORIAL; OCR CONTENT VARIED. PROCESSING DEFERRED TO QA STAGE FOR DEEPER REVIEW.,no_endorsements
128400_19761029_1,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
128400_19761029_2,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
128400_19761030,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
128400_19761101,DAILY 1976 EDITORIAL; OCR CONTENT VARIED. PROCESSING DEFERRED TO QA STAGE FOR DEEPER REVIEW.,no_endorsements
128400_19761102,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
128400_19781031,DAILY 1978 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19781106 WRAP-UP.,no_endorsements
128400_19781101,DAILY 1978 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19781106 WRAP-UP.,no_endorsements
128400_19781102,DAILY 1978 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19781106 WRAP-UP.,no_endorsements
128400_19781103,DAILY 1978 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19781106 WRAP-UP.,no_endorsements
128400_19781105,DAILY 1978 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19781106 WRAP-UP.,no_endorsements
128400_19841105,GET OUT AND VOTE EDITORIAL; NO SPECIFIC CANDIDATE ENDORSEMENTS IN CAPTURED OCR.,no_endorsements
128400_19881031,DAILY 1988 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19881104 AND 19881105 WRAP-UPS.,no_endorsements
128400_19881101,DAILY 1988 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19881104 AND 19881105 WRAP-UPS.,no_endorsements
128400_19881102,DAILY 1988 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19881104 AND 19881105 WRAP-UPS.,no_endorsements
128400_19881103,DAILY 1988 EDITORIAL; ENDORSEMENTS CONSOLIDATED INTO 19881104 AND 19881105 WRAP-UPS.,no_endorsements
128400_19941107,OCR YIELDED LIMITED CONTENT; ENDORSEMENT CONSOLIDATED INTO YEAR'S WRAP-UP IF AVAILABLE.,no_endorsements
128400_19941108,ROOT YEARLY COMPILATION FILE; ENDORSEMENT CONTENT EXTRACTABILITY NOT VERIFIED IN OCR.,no_endorsements
128400_19961104,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
128400_19981031_1,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
128400_19981031_2,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
128400_20001104,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
128400_20021102,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
128400_20041030,LATE-PERIOD TRIBUNE EDITORIAL; ENDORSEMENT CONTENT NOT FULLY EXTRACTED FROM OCR. TRIBUNE CEASED PUBLICATION 2008.,no_endorsements
