state_newspaper,newspaper,newspaper_id,year,office,dist,dname,state_election,cand_name,party,endorsed,d_inc,r_inc,o_inc,notes_endorse,extraction_confidence
TX,Abilene Reporter-News,144600,1964,RAILROAD COMMISSION,,,TX,"LANGDON, JIM",Democrat,1,1,,,"Editorial 'Connally, Smith, Carr, Langdon Due Reelection' — Jim Langdon, West Texan, district judge, then El Paso Civil Appeals Court, named railroad commissioner by Connally; running for reelection in his own right. Has hearty support of leaders of oil and transportation industries.",0.95
TX,Abilene Reporter-News,144600,1964,STATE REP,84,,TX,"JONES, GRANT",Democrat,1,,,,"Editorial 'For Grant Jones' — supports Grant Jones for office of 84th District Representative, Place 2, in next Tuesday's election. 'A mature man with a record of success and sound judgment in business life as well as community life.' Place 2 Taylor County (paired with Raleigh Brown, Place 1)",0.95
TX,Abilene Reporter-News,144600,1964,STATE SENATOR,24,,TX,"RATLIFF, DAVID",Democrat,1,1,,,Editorial 'Sen. David Ratliff' — 'The Reporter-News urges his reelection next Tuesday. He is the incumbent Democratic candidate.' Praises 14 years experience and water legislation including West Central Texas Municipal Water District.,0.98
TX,Abilene Reporter-News,144600,1968,ATTORNEY GENERAL,,,TX,"MARTIN, CRAWFORD",Democrat,1,1,,,Editorial '4 Candidates Endorsed' — 'Crawford Martin deserves a second term as Attorney General.' Has performed efficiently and responsibly.,0.98
TX,Abilene Reporter-News,144600,1968,GOVERNOR,,,TX,"SMITH, PRESTON",Democrat,1,,,,"Editorial '4 Candidates Endorsed' — 'Preston Smith has the ideal credentials for Governor.' 18 years in state government as State Rep, State Senator, and Lt Governor.",0.98
TX,Abilene Reporter-News,144600,1968,LT GOVERNOR,,,TX,"BARNES, BEN",Democrat,1,,,,"Editorial '4 Candidates Endorsed' — 'Ben Barnes has spent eight years in the House of Representatives, four of them (two terms) as its Speaker. This ideally qualifies him to move up to Lieutenant Governor.'",0.98
TX,Abilene Reporter-News,144600,1968,PRESIDENT,,,TX,"HUMPHREY, HUBERT",Democrat,1,,,,"Editorial 'Vote for Humphrey, For Your World Depends on It' — coined 'Nixon, but to Humphrey.' Today endorses Humphrey for President. Praises pride and conviction; backed by Eisenhower (Democratic Party) and Johnson administration.",0.98
TX,Abilene Reporter-News,144600,1968,RAILROAD COMMISSION,,,TX,"LANGDON, JIM",Democrat,1,1,,,"Editorial '4 Candidates Endorsed' — 'Jim Langdon, first appointed to the Railroad Commission five years ago, brings a good background as judge and lawyer to direction of the Railroad Commission. Certainly he merits reelection.'",0.98
TX,Abilene Reporter-News,144600,1968,VICE PRESIDENT,,,TX,"MUSKIE, EDMUND",Democrat,1,,,,"Editorial 'Vote for Humphrey, For Your World Depends on It' — 'We can imagine Muskie as President. If fate so dictates, we cannot say the same for Gov. Spiro Agnew, whose choice by Richard Nixon we can ascribe only to political expediency.'",0.95
TX,Abilene Reporter-News,144600,1978,ATTORNEY GENERAL,,,TX,"BAKER, JIM",Democrat,1,,,,Editorial 'Recommendations' summary,0.95
TX,Abilene Reporter-News,144600,1978,GOVERNOR,,,TX,"HILL, JOHN",Democrat,1,,,,Editorial 'Recommendations' summary,0.98
TX,Abilene Reporter-News,144600,1978,H,17,,TX,"STENHOLM, CHARLES",Democrat,1,,,,Editorial 'Recommendations' summary — U.S. House 17th District,0.98
TX,Abilene Reporter-News,144600,1978,LT GOVERNOR,,,TX,"HOBBY, BILL",Democrat,1,1,,,Editorial 'Recommendations' summary,0.98
TX,Abilene Reporter-News,144600,1978,RAILROAD COMMISSION,,,TX,"POERNER, JOHN",Democrat,1,1,,,Editorial 'Recommendations' summary,0.95
TX,Abilene Reporter-News,144600,1978,SENATOR,,,TX,"KRUEGER, BOB",Democrat,1,,,,Editorial 'Recommendations' summary,0.98
TX,Abilene Reporter-News,144600,1980,PRESIDENT,,,TX,"REAGAN, RONALD",Republican,1,,,,Editorial 'Today's the Day' summary,0.98
TX,Abilene Reporter-News,144600,1980,RAILROAD COMMISSION,,,TX,"NUGENT, JAMES E",Democrat,1,1,,,Editorial 'Today's the Day' summary — James E. (Jim) Nugent,0.95
TX,Abilene Reporter-News,144600,1980,RAILROAD COMMISSION,,,TX,"TEMPLE, BUDDY",Democrat,1,,,,Editorial 'Today's the Day' summary,0.95
TX,Abilene Reporter-News,144600,1980,TX SUPREME COURT,,,TX,"GARWOOD, WILL",Republican,1,,,,Editorial 'Today's the Day' summary,0.90
TX,Abilene Reporter-News,144600,1980,TX SUPREME COURT,,,TX,"WALLACE, JAMES P",Democrat,1,,,,Editorial 'Today's the Day' summary — James P. (Jim) Wallace,0.95
TX,Abilene Reporter-News,144600,1980,VICE PRESIDENT,,,TX,"BUSH, GEORGE",Republican,1,,,,Editorial 'Today's the Day' summary,0.98
TX,Abilene Reporter-News,144600,1982,AGRICULTURE COMMISSIONER,,,TX,"THORNBERRY, FRED",Republican,1,,,,"Editorial 'Our Choices Repeated For Interested Voters' — Republican Fred Thornberry has been involved in agriculture all his professional life; producer of beef, honey and timber",0.90
TX,Abilene Reporter-News,144600,1982,ATTORNEY GENERAL,,,TX,"MEIER, BILL",Republican,1,,,,Editorial 'Attorney General Race: Philosophy Important' — 'Reporter-News has decided to support Meier in this race.' Mattox 'avowedly liberal'; Meier 'staunchly conservative.' Meier characterizes philosophy and desires of most Texans for future of the state.,0.98
TX,Abilene Reporter-News,144600,1982,COMPTROLLER,,,TX,"BULLOCK, BOB",Democrat,1,1,,,Editorial 'Our Choices Repeated For Interested Voters' — Democratic incumbent Bob Bullock; another official whose manner often is described as blunt; efficient comptroller,0.95
TX,Abilene Reporter-News,144600,1982,COURT OF CRIMINAL APPEALS,,,TX,"MILLER, CHUCK",Democrat,1,,,,Editorial 'Our Choices Repeated For Interested Voters' — Democratic candidate for Place 2; distinguished background and ringing endorsements from fellow attorneys,0.90
TX,Abilene Reporter-News,144600,1982,GOVERNOR,,,TX,"CLEMENTS, BILL",Republican,1,,1,,"Editorial 'Our Choices Repeated For Interested Voters' — incumbent Republican Gov. Bill Clements; 'helped see the state through difficult economic times relatively unscathed, and he deserves a second term.'",0.95
TX,Abilene Reporter-News,144600,1982,LAND COMMISSIONER,,,TX,"MAURO, GARRY",Democrat,1,,,,"Editorial 'Our Choices Repeated For Interested Voters' — Democratic candidate Garry Mauro; young, has energy, enthusiasm and savvy for politicking and administrative talent",0.95
TX,Abilene Reporter-News,144600,1982,LT GOVERNOR,,,TX,"HOBBY, BILL",Democrat,1,1,,,Editorial 'Our Choices Repeated For Interested Voters' — Democratic Lt Gov Bill Hobby; has used the power fairly and judiciously,0.95
TX,Abilene Reporter-News,144600,1982,RAILROAD COMMISSION,,,TX,"NUGENT, JIM",Democrat,1,1,,,"Editorial 'Our Choices Repeated For Interested Voters' — Democratic incumbent Jim Nugent; appointed in 1979, was returned overwhelmingly by voters in 1980",0.95
TX,Abilene Reporter-News,144600,1982,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,1,,,Editorial 'Our Choices Repeated For Interested Voters' — Incumbent Democratic Sen. Lloyd Bentsen has been an influential and moderate voice for Texas; established leader in Senate.,0.95
TX,Abilene Reporter-News,144600,1982,TREASURER,,,TX,"CLARK, ALLEN",Republican,1,,,,"Editorial 'Our Choices Repeated For Interested Voters' — Republican Allen Clark, West Point graduate, Vietnam vet, banker and business executive",0.90
TX,Abilene Reporter-News,144600,1982,TX SUPREME COURT,,,TX,"ROBERTSON, TED",Democrat,1,,,,"Editorial 'Our Choices Repeated For Interested Voters' — Democrat Ted Robertson, currently 5th Court of Appeals Justice; rated 'best judge' in almost every Dallas Bar poll in recent years",0.95
TX,Abilene Reporter-News,144600,1984,COURT OF CRIMINAL APPEALS,,,TX,"CLINTON, SAM HOUSTON",Democrat,1,,,,Editorial 'Take time to vote / A privilege' — Judge State Court of Criminal Appeals (name partially legible),0.60
TX,Abilene Reporter-News,144600,1984,PRESIDENT,,,TX,"REAGAN, RONALD",Republican,1,,1,,Editorial 'Take time to vote / A privilege' — Our endorsements: President Reagan,0.90
TX,Abilene Reporter-News,144600,1984,RAILROAD COMMISSION,,,TX,"WALLACE, MACK",Democrat,1,1,,,Editorial 'Take time to vote / A privilege' — Railroad Commission: Mack Wallace,0.90
TX,Abilene Reporter-News,144600,1984,SENATOR,,,TX,"GRAMM, PHIL",Republican,1,,,,Editorial 'Take time to vote / A privilege' — Senator: Phil Gramm,0.90
TX,Abilene Reporter-News,144600,1984,TX SUPREME COURT,,,TX,"HILL, JOHN",Democrat,1,,,,Editorial 'Take time to vote / A privilege' — Chief Justice State Supreme Court: John Hill,0.90
TX,Abilene Reporter-News,144600,1986,AGRICULTURE COMMISSIONER,,,TX,"HIGHTOWER, JIM",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — 'the incumbent, has been a flamboyant but effective advocate of Texas farmers. Republican Bill Powers also is well qualified.'",0.98
TX,Abilene Reporter-News,144600,1986,ATTORNEY GENERAL,,,TX,"BARRERA, ROY JR",Republican,1,,,,"Editorial 'Our endorsements recounted' — 'with 10 years experience as a state district judge, is the ABM candidate — Anybody But Mattox.'",0.98
TX,Abilene Reporter-News,144600,1986,COMPTROLLER,,,TX,"BULLOCK, BOB",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — 'the incumbent, is a competent, hardworking chief accountant for the state.'",0.98
TX,Abilene Reporter-News,144600,1986,GOVERNOR,,,TX,"CLEMENTS, BILL",Republican,1,,,,"Editorial 'Our endorsements recounted' — 'a skilled businessman and proven fiscal conservative with close ties to the Reagan administration, was our choice for the difficult times facing Texas.'",0.98
TX,Abilene Reporter-News,144600,1986,LAND COMMISSIONER,,,TX,"MAURO, GARRY",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — 'the incumbent, has used sound fiscal management in overseeing the state's huge land holdings.'",0.98
TX,Abilene Reporter-News,144600,1986,LT GOVERNOR,,,TX,"HOBBY, BILL",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — 'the incumbent, probably is the most knowledgeable and effective public servant in Austin.'",0.98
TX,Abilene Reporter-News,144600,1986,RAILROAD COMMISSION,,,TX,"SHARP, JOHN",Democrat,1,,,,"Editorial 'Our endorsements recounted' — 'who has served two terms in the Texas House and one in the Senate, would be a valuable addition to the commission.'",0.98
TX,Abilene Reporter-News,144600,1986,STATE REP,,,TX,"HUNTER, BOB",Republican,1,,,,"Editorial 'Our endorsements recounted' — Republican Bob Hunter, who has lived and worked in Abilene for more than 30 years, will ably represent the interests of the district and its residents.",0.95
TX,Abilene Reporter-News,144600,1986,TREASURER,,,TX,"RICHARDS, ANN",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — 'the incumbent, has been an extremely efficient manager of the state's money.'",0.98
TX,Abilene Reporter-News,144600,1986,TX SUPREME COURT,,,TX,"CAMPBELL, ROBERT M",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — Place 2; 'the incumbent, is well qualified for this post. His opponent's qualifications are far less impressive.'",0.95
TX,Abilene Reporter-News,144600,1986,TX SUPREME COURT,,,TX,"GONZALEZ, RAUL",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — Place 4; 'the incumbent, is extremely qualified and boasts support across the political spectrum. His opponent is far less qualified.'",0.95
TX,Abilene Reporter-News,144600,1986,TX SUPREME COURT,,,TX,"WALLACE, JIM",Democrat,1,1,,,"Editorial 'Our endorsements recounted' — Place 3; Democratic incumbent Jim Wallace faces token opposition from Libertarian candidate, Wiley Rawlins.",0.95
TX,Abilene Reporter-News,144600,1988,CNTY COMM,1,,TX,"TURNER, JACK",Republican,1,,,,"Editorial 'Reporter-News endorses' — County Commissioner, Precinct 1; Jack Turner (Republican) has been a resident of Abilene and Taylor County for 59 years; prominent community leader.",0.95
TX,Abilene Reporter-News,144600,1988,CNTY COMM,3,,TX,"THOMPSON, JOHN G",Republican,1,1,,,"Editorial 'Reporter-News endorses' — County Commissioner, Precinct 3; John G. Thompson (Republican), commissioner for four years, fiscal conservative committed to cutting waste",0.95
TX,Abilene Reporter-News,144600,1988,COURT OF CRIMINAL APPEALS,,,TX,"CAMPBELL, CHARLES",Democrat,1,1,,,"Editorial 'Reporter-News endorses' — State Court of Criminal Appeals; Charles Campbell, Associate Justice, Place 1, incumbent",0.95
TX,Abilene Reporter-News,144600,1988,COURT OF CRIMINAL APPEALS,,,TX,"MCCORMICK, MICHAEL",Democrat,1,,,,"Editorial 'Reporter-News endorses' — State Court of Criminal Appeals; Michael McCormick, Presiding Judge; seeks advancement to post of presiding judge, replacing John Onion who did not seek re-election",0.95
TX,Abilene Reporter-News,144600,1988,COURT OF CRIMINAL APPEALS,,,TX,"MILLER, CHUCK",Democrat,1,1,,,"Editorial 'Reporter-News endorses' — State Court of Criminal Appeals; Chuck Miller, Associate Justice, Place 2, incumbent (all Democrats)",0.95
TX,Abilene Reporter-News,144600,1988,DISTRICT COURT JUDGE,350,,TX,"SARINGER, JOHN",Democrat,1,,,,"Editorial 'Reporter-News endorses' — District Judge, 350th Judicial District. Both Saringer (Democrat), former judge in the Taylor County Court-at-Law, and Jorge Solis (Republican), former Criminal District Attorney for Taylor County, are distinguished candidates, although Saringer has the edge in judicial experience.",0.85
TX,Abilene Reporter-News,144600,1988,DISTRICT COURT JUDGE,42,,TX,"LANE, DON",Democrat,1,1,,,"Editorial 'Reporter-News endorses' — District Judge, 42nd Judicial District; has served on court for past 16 years and deserves re-election",0.95
TX,Abilene Reporter-News,144600,1988,JUDGE,,Taylor County Court-at-Law,TX,"SMART, JIM",Democrat,1,,,,"Editorial 'Reporter-News endorses' — Judge, County Court-at-Law (unexpired term); Jim Smart (Democrat) is experienced in both criminal and civil cases and is committed to clearing up the current backlog",0.90
TX,Abilene Reporter-News,144600,1988,JUSTICE OF PEACE,1,,TX,"GRIFFIN, CHARLES B 'CHUCK'",Republican,1,,,,"Editorial 'Reporter-News endorses' — Justice of the Peace, Precinct 1, Place 1 — Charles B. 'Chuck' Griffin would bring needed efficiency to JP's office",0.95
TX,Abilene Reporter-News,144600,1988,PRESIDENT,,,TX,"BUSH, GEORGE",Republican,1,,,,"Editorial 'Reporter-News endorses' — 'whose considerable experience, conservatism and harmony with the beliefs of most Texans make him the preferred candidate.'",0.98
TX,Abilene Reporter-News,144600,1988,RAILROAD COMMISSION,,,TX,"EMMETT, ED",Republican,1,,,,"Editorial 'Reporter-News endorses' — Hance and Ed Emmett, both Republicans",0.95
TX,Abilene Reporter-News,144600,1988,RAILROAD COMMISSION,,,TX,"HANCE, KENT",Republican,1,,,,"Editorial 'Reporter-News endorses' — Kent Hance and Ed Emmett, both Republicans, have the expertise, vision and energy to bring a new approach",0.95
TX,Abilene Reporter-News,144600,1988,SENATOR,,,TX,"BENTSEN, LLOYD",Democrat,1,1,,,"Editorial 'Reporter-News endorses' — 'is an outstanding senator with the leadership skills, compassion and judgment to continue to serve as one of the most respected members of this select body.'",0.98
TX,Abilene Reporter-News,144600,1988,STATE BOARD OF ED,14,,TX,"DORSETT, DONALD R",Republican,1,,,,"Editorial 'Reporter-News endorses' — State Board of Education, District 14; Donald R. Dorsett (Republican), 26 years in education, able advocate for better education in Texas",0.95
TX,Abilene Reporter-News,144600,1988,STATE REP,78,,TX,"COUNTS, DAVID",Democrat,1,,,,"Editorial 'Reporter-News endorses' — State Rep, District 78 (rural Taylor County and 11 other counties); David Counts (Democrat) is a traditional West Texas moderate who is well versed on the issues facing the next Legislature.",0.95
TX,Abilene Reporter-News,144600,1988,STATE REP,79,Abilene,TX,"HUNTER, BOB",Republican,1,1,,,"Editorial 'Reporter-News endorses' — State Rep, District 79 (Abilene); Bob Hunter (Republican), the incumbent, has been both an able lawmaker and a tireless ambassador for Abilene",0.95
TX,Abilene Reporter-News,144600,1988,STATE SENATOR,30,,TX,"CARRIKER, STEVE",Democrat,1,,,,"Editorial 'Reporter-News endorses' — State Senate, District 30; Steve Carriker (Democrat), former state representative, has the keen mind and leadership skills to become an outstanding state senator",0.95
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"BAYER, KARL",Democrat,1,,,,Editorial 'Reporter-News endorses' — Place 5; both Cook and Bayer (Democrat) are qualified,0.70
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"COOK, EUGENE",Republican,1,,,,"Editorial 'Reporter-News endorses' — Similarly, in the Place 5 race, both Eugene Cook (Republican) and Karl Bayer (Democrat) are qualified",0.70
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"CULVER, BARBARA",Republican,1,,,,"Editorial 'Reporter-News endorses' — In Place 4 race, both Barbara Culver (Republican) and Jack Hightower (Democrat) are qualified",0.70
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"GONZALEZ, RAUL",Democrat,1,,,,"Editorial 'Reporter-News endorses' — Place 3, Raul Gonzalez (Democrat)",0.95
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"HECHT, NATHAN",Republican,1,,,,"Editorial 'Reporter-News endorses' — Place 2, Nathan Hecht (Republican)",0.95
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"HIGHTOWER, JACK",Democrat,1,,,,"Editorial 'Reporter-News endorses' — In Place 4 race, both Barbara Culver and Jack Hightower (Democrat) are qualified",0.70
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"MURPHY, PAUL",Republican,1,,,,"Editorial 'Reporter-News endorses' — Place 1, Paul Murphy (Republican)",0.90
TX,Abilene Reporter-News,144600,1988,TX SUPREME COURT,,,TX,"PHILLIPS, TOM",Republican,1,,,,Editorial 'Reporter-News endorses' — Chief Justice Tom Phillips (Republican). 'a slate that will help get the court back on the right path.',0.95
TX,Abilene Reporter-News,144600,1990,AGRICULTURE COMMISSIONER,,,TX,"PERRY, RICK",Republican,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,ATTORNEY GENERAL,,,TX,"MORALES, DAN",Democrat,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,CNTY CLERK,,Taylor County,TX,"LYONS, JANICE",Democrat,1,,,,Editorial 'Remember to vote today' — Taylor County Clerk,0.98
TX,Abilene Reporter-News,144600,1990,COMPTROLLER,,,TX,"SHARP, JOHN",Democrat,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,COURT OF CRIMINAL APPEALS,,,TX,"BERCHELMANN, DAVID",Republican,1,,,,"Editorial 'Remember to vote today' — Judge, Court of Criminal Appeals, Place 4",0.98
TX,Abilene Reporter-News,144600,1990,COURT OF CRIMINAL APPEALS,,,TX,"KITZMAN, OLIVER S",Republican,1,,,,"Editorial 'Remember to vote today' — Judge, Court of Criminal Appeals, Place 2",0.98
TX,Abilene Reporter-News,144600,1990,COURT OF CRIMINAL APPEALS,,,TX,"MALONEY, FRANK",Democrat,1,,,,"Editorial 'Remember to vote today' — Judge, Court of Criminal Appeals, Place 1",0.98
TX,Abilene Reporter-News,144600,1990,COURT OF CRIMINAL APPEALS,,,TX,"STURNS, LOUIS E",Republican,1,,,,"Editorial 'Remember to vote today' — Judge, Court of Criminal Appeals, Place 5",0.98
TX,Abilene Reporter-News,144600,1990,COURT OF CRIMINAL APPEALS,,,TX,"WHITE, BILL",Democrat,1,,,,"Editorial 'Remember to vote today' — Judge, Court of Criminal Appeals, Place 3",0.98
TX,Abilene Reporter-News,144600,1990,GOVERNOR,,,TX,"WILLIAMS, CLAYTON",Republican,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,LAND COMMISSIONER,,,TX,"MAURO, GARRY",Democrat,1,1,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,LT GOVERNOR,,,TX,"BULLOCK, BOB",Democrat,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,RAILROAD COMMISSION,,,TX,"BOULTER, BEAU",Republican,1,,,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,SENATOR,,,TX,"GRAMM, PHIL",Republican,1,,1,,Editorial 'Remember to vote today',0.98
TX,Abilene Reporter-News,144600,1990,STATE REP,78,,TX,"COUNTS, DAVID",Democrat,1,1,,,"Editorial 'Remember to vote today' — State Representative, District 78",0.98
TX,Abilene Reporter-News,144600,1990,TREASURER,,,TX,"HUTCHISON, KAY BAILEY",Republican,1,,,,Editorial 'Remember to vote today' — State Treasurer,0.98
TX,Abilene Reporter-News,144600,1990,TX SUPREME COURT,,,TX,"CORNYN, JOHN",Republican,1,,,,"Editorial 'Remember to vote today' — Justice, Supreme Court, Place 1",0.98
TX,Abilene Reporter-News,144600,1990,TX SUPREME COURT,,,TX,"GAMMAGE, BOB",Democrat,1,,,,"Editorial 'Remember to vote today' — Justice, Supreme Court, Place 2",0.98
TX,Abilene Reporter-News,144600,1990,TX SUPREME COURT,,,TX,"PHILLIPS, TOM",Republican,1,1,,,"Editorial 'Remember to vote today' — Chief Justice, Texas Supreme Court",0.98
TX,Abilene Reporter-News,144600,1992,CNTY COMM,1,,TX,"TURNER, JACK",Republican,1,1,,,"Editorial 'Finally, election day' — County Commissioner, Pct. 1",0.95
TX,Abilene Reporter-News,144600,1992,CNTY COMM,3,,TX,"EGGER, STAN",Republican,1,,,,"Editorial 'Finally, election day' — County Commissioner, Pct. 3",0.95
TX,Abilene Reporter-News,144600,1992,CNTY JUDGE,,,TX,"HAMILTON, LEE",Republican,1,,,,"Editorial 'Finally, election day' — County Judge",0.90
TX,Abilene Reporter-News,144600,1992,COURT OF CRIMINAL APPEALS,,,TX,"BAIRD, CHARLES",Democrat,1,,,,"Editorial 'Finally, election day' — Court of Criminal Appeals, Place 1",0.90
TX,Abilene Reporter-News,144600,1992,COURT OF CRIMINAL APPEALS,,,TX,"BENAVIDES, PETE",Democrat,1,,,,"Editorial 'Finally, election day' — Court of Criminal Appeals, Place 3",0.90
TX,Abilene Reporter-News,144600,1992,COURT OF CRIMINAL APPEALS,,,TX,"OVERSTREET, MORRIS",Democrat,1,,,,"Editorial 'Finally, election day' — Court of Criminal Appeals, Place 2",0.90
TX,Abilene Reporter-News,144600,1992,DISTRICT COURT JUDGE,42,,TX,"WEEKS, JOHN",Republican,1,,,,"Editorial 'Finally, election day' — Judge, 42nd District Court",0.90
TX,Abilene Reporter-News,144600,1992,H,17,,TX,"STENHOLM, CHARLES",Democrat,1,1,,,"Editorial 'Finally, election day' — U.S. House",0.95
TX,Abilene Reporter-News,144600,1992,PRESIDENT,,,TX,"BUSH, GEORGE",Republican,1,,1,,"Editorial 'Finally, election day'",0.98
TX,Abilene Reporter-News,144600,1992,RAILROAD COMMISSION,,,TX,"WILLIAMSON, BARRY",Republican,1,,,,"Editorial 'Finally, election day'",0.95
TX,Abilene Reporter-News,144600,1992,SHERIFF,,,TX,"DIEKEN, JACK",Republican,1,,,,"Editorial 'Finally, election day' — Sheriff",0.90
TX,Abilene Reporter-News,144600,1992,STATE SENATOR,25,,TX,"FRASER, TROY",Republican,1,,,,"Editorial 'Finally, election day' — Texas Senate, Dist. 25",0.90
TX,Abilene Reporter-News,144600,1992,TX SUPREME COURT,,,TX,"COOK, EUGENE",Republican,1,,,,"Editorial 'Finally, election day' — Supreme Court, Place 2",0.95
TX,Abilene Reporter-News,144600,1992,TX SUPREME COURT,,,TX,"ENOCH, CRAIG",Republican,1,,,,"Editorial 'Finally, election day' — Supreme Court, Place 1",0.95
TX,Abilene Reporter-News,144600,1992,TX SUPREME COURT,,,TX,"HIGHTOWER, JACK",Democrat,1,,,,"Editorial 'Finally, election day' — Supreme Court, Place 3",0.95
TX,Abilene Reporter-News,144600,1994,AGRICULTURE COMMISSIONER,,,TX,"PERRY, RICK",Republican,1,1,,,Editorial — Republican incumbent has worked hard for agriculture interests throughout the state,0.98
TX,Abilene Reporter-News,144600,1994,AGRICULTURE COMMISSIONER,,,TX,RICK PERRY,Republican,1,,,,,
TX,Abilene Reporter-News,144600,1994,ATTORNEY GENERAL,,,TX,DAN MORALES,Democrat,1,,,,,
TX,Abilene Reporter-News,144600,1994,ATTORNEY GENERAL,,,TX,"MORALES, DAN",Democrat,1,1,,,Editorial — has sued the federal government to recover $6 billion Texas has spent on illegal immigration,0.98
TX,Abilene Reporter-News,144600,1994,COMPTROLLER,,,TX,JOHN SHARP,Democrat,1,,,,,
TX,Abilene Reporter-News,144600,1994,COMPTROLLER,,,TX,"SHARP, JOHN",Democrat,1,1,,,Editorial — has brought efficiency to this massive office through intelligent innovations,0.98
TX,Abilene Reporter-News,144600,1994,COURT OF APPEALS,"11th Court of Appeals, Chief Justice",,TX,BUD ARNOT,Democrat,1,,,,,
TX,Abilene Reporter-News,144600,1994,COURT OF CRIMINAL APPEALS,,,TX,"CAMPBELL, CHARLES",Democrat,1,1,,,"Editorial — Place 1, Democrat; moderate who usually votes for the prosecution and isn't part of the problem on this court",0.95
